Zone      Average             sdev                Skewness            Volume              Density             Continuity Error    Global Cont Error
ID        (m^2/s^3)           (m^2/s^3)                               (m^3)               (kg/m^3)            (kg/s)              (kg/s)  

0         0.007373782         0.002344975        -0.411755532         0.000865425         998.196289063      -0.000007731         0.000004816    
1         0.014338676         0.002800499        -0.969629169         0.000731456         998.198791504       0.000015756    
2         0.025434515         0.004267888         0.556350052         0.000580013         998.196594238      -0.000007626    
3         0.045428820         0.007559715         0.263110191         0.000498521         998.198425293       0.000030439    
4         0.080820270         0.013577427         0.165376663         0.000504349         998.198425293      -0.000019275    
5         0.142814994         0.023256842         0.170337677         0.000586010         998.200866699      -0.000011493    
6         1.187665224         0.382289607        -0.581047118         0.000654652         998.199218750       0.000063630    
7         2.364211559         0.378247918         0.362357587         0.000396043         998.200683594      -0.000147039    
8         4.288912296         0.849883778         1.796878457         0.000577221         998.199096680      -0.000024929    
9         7.463756084         1.259215195         0.598832786         0.000448899         998.202331543      -0.000100276    
10        13.844524384        6.701667681         13.436997414        0.000362937         998.201477051       0.000057808    
11        0.251783788         0.041773643         0.246256337         0.000686466         998.202026367      -0.000075625    
12        0.437700063         0.072979118         0.271026254         0.000761275         998.197753906       0.000092063    
13        0.775147617         0.131381807         0.456917703         0.000619026         998.202209473       0.000001132    
14        1.369957089         0.227468037         0.532633841         0.000528276         998.198547363      -0.000066757    
15        2.411113501         0.390765546         0.287910551         0.000475793         998.188964844       0.000095367    
16        6.646861553         2.244441159         1.257467151         0.000012174         998.202758789      -0.000000263    
17        23.825790405        8.412298699         15.289361000        0.000317319         998.206176758       0.000317176    
18        25.430402756        3.539053742        -0.394188374         0.000028934         998.201171875      -0.000000353    
19        23.605850220        4.060483931         0.694465995         0.000009551         998.200744629      -0.000003445    
20        43.689811707        15.493057173        4.813157082         0.000212615         998.195739746      -0.000150723    
21        39.394229889        6.440859020         0.532809138         0.000068198         998.200622559       0.000006780    
22        43.427043915        7.408075164         0.194863439         0.000011605         998.201110840       0.000003695    
23        68.848678589        11.078933148        0.644607723         0.000022127         998.203918457      -0.000013131    
24        91.478317261        190.970291783       47.445072174        0.000071489         998.205261230      -0.000047922    
25        72.385833740        11.898437500        0.519197583         0.000024566         998.198364258      -0.000038534    
26        250.888610840       529.984610626       17.256456375        0.000016491         998.192504883       0.000003702    
27        254.613220215       553.309418409       17.720603943        0.000007875         998.195617676       0.000005687    
28        124.728904724       21.005489540        1.705540180         0.000021349         998.198791504       0.000034809    
29        333.210479736       432.872346945       13.086765289        0.000010462         998.201904297      -0.000008106    
